INSERT ALL
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Atlantic Star', 'Titanium Oceanic', 'Qatar', 2350, 2007, 'Lujo')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Golden Horizon', 'Crystal Waters Cruise', 'Países Bajos', 2750, 2008, 'Lujo')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Golden Sunset', 'Celestial Journeys', 'Filipinas', 2200, 2004, 'Lujo')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Infinity Breeze', 'Caribbean Cruise', 'Francia', 2450, 2010, 'Premium')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Majestic Sea', 'Golden Horizon Cruises', 'Ecuador', 2400, 2008, 'Premium')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Neptune Star', 'Infinity Cruise Lines', 'Estados Unidos', 2700, 2018, 'Premium')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Neptune Star', 'Titanium Oceanic', 'Mónaco', 2100, 2020, 'Premium')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Neptune Voyager', 'Emerald Ocean Tours', 'Pakistán', 2350, 2018, 'Lujo')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Ocean Breeze', 'Regal Voyages', 'Serbia', 2600, 2008, 'Económico')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Ocean Explorer', 'Oceanic Tours', 'Ucrania', 2200, 2024, 'Económico')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Ocean Explorer', 'Silver Seas Travel', 'Tailandia', 2050, 2016, 'Lujo')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Ocean Majesty', 'Atlantic Travels', 'Jamaica', 1900, 2001, 'Premium')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Ocean Majesty', 'Crystal Waters Cruise', 'Francia', 2350, 2011, 'Lujo')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Ocean Majesty', 'Emerald Ocean Tours', 'Tailandia', 2750, 2006, 'Lujo')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Ocean Majesty', 'Infinity Cruise Lines', 'Italia', 2300, 2024, 'Lujo')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Ocean Majesty', 'Oceanic Tours', 'Brasil', 2200, 2007, 'Lujo')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Ocean Majesty', 'Pacific Voyages', 'República Dominicana', 2750, 2002, 'Premium')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Orion Sunset', 'Mediterranean Lines', 'Chile', 2150, 2024, 'Premium')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Pacific Dream', 'Pacific Voyages', 'Polonia', 1800, 2012, 'Premium')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Poseidon Glory', 'Atlantic Travels', 'Ecuador', 1850, 2012, 'Económico')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Poseidon Glory', 'Celestial Journeys', 'Ucrania', 1950, 2012, 'Lujo')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Poseidon Glory', 'Galactic Oceanic', 'Corea del Sur', 2650, 2024, 'Lujo')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Royal Horizon', 'Infinity Cruise Lines', 'Ucrania', 2200, 2023, 'Económico')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Royal Sun', 'Sapphire Seas', 'Japón', 2200, 2021, 'Premium')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Sapphire Dream', 'Neptune Adventures', 'Panamá', 2450, 2013, 'Premium')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Sapphire Dream', 'Silver Seas Travel', 'Costa Rica', 2750, 2020, 'Lujo')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Serene Waters', 'Golden Horizon Cruises', 'Francia', 2500, 2012, 'Premium')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Silver Wave', 'Galactic Oceanic', 'Uzbekistán', 2050, 2008, 'Económico')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Silver Wave', 'Oceanic Tours', 'Uruguay', 1900, 2018, 'Premium')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Starlight Breeze', 'Neptune Adventures', 'Suecia', 2550, 2006, 'Premium')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Starry Night', 'Oceanic Tours', 'Malta', 2450, 2005, 'Premium')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Starry Waters', 'Infinity Cruise Lines', 'Australia', 1900, 2024, 'Lujo')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Sunset Waves', 'Royal Cruises', 'República Dominicana', 2050, 2008, 'Premium')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Voyager Spirit', 'Celestial Journeys', 'Tanzania', 2500, 2003, 'Lujo')
    INTO CRUCEROS (NOMBRE, COMPANIA, PAIS_REGISTRO, CAPACIDAD, ANO_CONSTRUCCION, CATEGORIA) VALUES ('Voyager Spirit', 'Pacific Voyages', 'Uruguay', 2600, 2000, 'Económico')
SELECT * FROM DUAL;
